duration,src_bytes,dst_bytes,count,srv_count
2,58,116,1,2
2,407,310,7,5
2,1252,1363,17,16
2,190,116,3,2
2,190,58,3,1
2,58,116,1,2
2,397,463,5,6
2,202,272,3,4
2,116,116,2,2
2,116,58,2,1
2,58,116,1,2
2,190,58,3,1
2,58,58,1,1
2,116,116,2,2
2,100,100,2,2
2,116,116,2,2
2,218,230,3,3
2,202,330,3,5
2,353,291,5,4
2,124,132,2,2
2,190,116,3,2
2,384,260,6,4
2,58,116,1,2
2,116,116,2,2
2,133,144,2,2
2,182,116,3,2
2,362,444,5,6
2,58,116,1,2
2,328,116,3,2
2,58,58,1,1
2,2472,11238,18,17
2,291,331,4,4
2,301,116,2,2
2,1044,1268,10,8
2,12630,6898,21,17
2,232,306,4,5
2,406,480,5,6
2,58,116,1,2
2,116,116,2,2
2,58,58,1,1
2,116,116,2,2
2,158,100,3,2
2,58,116,1,2
2,1340,1553,13,12
2,1021,9664,8,11
2,2775,11284,21,23
2,321,402,4,5
2,58,116,1,2
2,248,2528,4,24
2,12540,220301,121,196
2,4638,37226,25,36
2,6312,47143,32,41
2,4166,72765,31,57
2,116,58,2,1
2,100,600,2,8
2,284,386,4,5
2,351,589,4,7
2,116,116,2,2
2,116,156,2,2
2,58,294,1,4
2,186,156,3,2
2,4030,157086,61,120
2,17804,703232,270,530
2,23777,937850,353,705
2,24063,932106,358,702
2,34856,1352118,518,1019
2,43031,1599270,611,1212
2,48891,1940962,734,1462
2,39689,1546451,593,1170
2,38334,1487566,567,1125
2,49962,1919994,741,1451
2,33810,1313040,505,991
2,34106,1361980,517,1031
2,30660,1195206,458,908
2,35047,1133706,464,873
2,20316,770116,306,594
2,19744,724516,286,552
2,33538,1233386,479,934
2,48330,1880134,719,1420
2,55680,2192554,830,1651
2,55180,2160412,821,1625
2,64637,2093533,819,1586
2,60376,2324660,894,1751
2,49926,1956856,749,1477
2,49058,1905270,729,1436
2,19606,747002,289,572
2,13097,490880,198,376
2,14011,330603,150,266
2,14514,508674,211,400
2,28375,1025190,409,785
2,32125,1072397,433,814
2,14244,310800,165,248
2,9130,188562,110,153
2,9433,216101,117,181
2,10532,298654,141,247
2,33222,478207,275,406
2,56997,1091020,560,859
2,60256,1024508,467,808
2,91329,1613176,727,1251
2,75615,1596811,713,1221
2,20016,343359,267,361
2,32196,551197,330,439
2,8633,207057,117,167
2,3562,76813,44,63
2,6834,60448,45,57
2,11483,82266,68,84
2,16076,79971,79,93
2,56094,154962,199,173
2,41244,149912,140,145
2,59309,141592,173,173
2,47914,169975,152,162
2,27745,145596,117,143
2,34715,72814,86,85
2,7408,101219,59,87
2,59723,221965,199,250
2,34174,109528,122,145
2,135011,695008,578,884
2,168150,2689121,1369,2371
2,109486,1561165,710,1326
2,12588,298387,140,246
2,95218,945023,581,938
2,28451,320811,180,324
2,16728,248769,190,261
2,14428,96029,117,115
2,6741,93562,74,84
2,22658,102596,81,95
2,10101,131125,82,130
2,20295,152149,135,167
2,13410,125960,109,138
2,18023,114017,130,155
2,125817,389000,632,724
2,46916,357952,345,439
2,73579,271757,456,447
2,102045,606313,813,763
2,313271,3016685,2297,3293
2,60985,181249,302,295
2,91496,269342,488,481
2,35517,86831,160,143
2,44803,134628,334,334
2,24257,73191,173,169
2,158055,2648872,1492,2387
2,106833,2833403,1238,2257
2,527049,11715057,6191,9183
2,339900,8176777,4221,6436
2,40201,180374,270,303
2,49411,1459322,607,1149
2,3856,87329,54,70
2,9419,73668,50,59
2,45555,1004991,498,857
2,32429,998964,432,799
2,11038,40959,66,71
2,4643,17272,54,48
2,46515,508761,401,488
2,14373,43189,64,84
2,46401,112604,190,223
2,55623,198741,265,323
2,97964,340705,333,442
2,83942,1102657,383,1041
2,128587,2967905,673,2559
2,27366,160676,120,184
2,42261,2260018,374,1823
